date,install_group_x,device_id_x,count_x,install_group_y,device_id_y,count_y,"Доля трафика от инсталлов, %"
2020-01-01,Остальные,866,866,Установили в тот же день,3579,3579,0.8051743532058493
2020-01-02,Остальные,1957,1957,Установили в тот же день,3144,3144,0.6163497353460106
2020-01-03,Остальные,2742,2742,Установили в тот же день,2402,2402,0.46695178849144636
2020-01-04,Остальные,3093,3093,Установили в тот же день,1831,1831,0.37185215272136474
2020-01-05,Остальные,3936,3936,Установили в тот же день,1671,1671,0.2980203317281969
2020-01-06,Остальные,3677,3677,Установили в тот же день,1488,1488,0.28809293320425944
2020-01-07,Остальные,3475,3475,Установили в тот же день,1298,1298,0.27194636496962077
2020-01-08,Остальные,3796,3796,Установили в тот же день,1154,1154,0.23313131313131313
2020-01-09,Остальные,3992,3992,Установили в тот же день,1424,1424,0.26292466765140327
2020-01-10,Остальные,8323,8323,Установили в тот же день,13106,13106,0.6116011013113071
2020-01-11,Остальные,9946,9946,Установили в тот же день,4523,4523,0.31259935033519937
2020-01-12,Остальные,7790,7790,Установили в тот же день,2439,2439,0.23843973017890313
2020-01-13,Остальные,7603,7603,Установили в тот же день,4571,4571,0.375472318054871
2020-01-14,Остальные,7764,7764,Установили в тот же день,5173,5173,0.39986086418798794
2020-01-15,Остальные,7545,7545,Установили в тот же день,4310,4310,0.3635596794601434
2020-01-16,Остальные,7325,7325,Установили в тот же день,3306,3306,0.3109773304486878
2020-01-17,Остальные,7165,7165,Установили в тот же день,2737,2737,0.27640880630175724
2020-01-18,Остальные,7292,7292,Установили в тот же день,2304,2304,0.240100041684035
2020-01-19,Остальные,7259,7259,Установили в тот же день,2257,2257,0.23717948717948717
2020-01-20,Остальные,6937,6937,Установили в тот же день,2097,2097,0.23212309054682312
2020-01-21,Остальные,6823,6823,Установили в тот же день,1826,1826,0.21112267314140362
2020-01-22,Остальные,6638,6638,Установили в тот же день,1057,1057,0.1373619233268356
2020-01-23,Остальные,7666,7666,Установили в тот же день,2051,2051,0.21107337655655037
2020-01-24,Остальные,6981,6981,Установили в тот же день,1275,1275,0.15443313953488372
2020-01-25,Остальные,6866,6866,Установили в тот же день,970,970,0.12378764675855028
2020-01-26,Остальные,6802,6802,Установили в тот же день,812,812,0.10664565274494353
2020-01-27,Остальные,6457,6457,Установили в тот же день,758,758,0.10505890505890506
2020-01-28,Остальные,6638,6638,Установили в тот же день,1012,1012,0.1322875816993464
2020-01-29,Остальные,7125,7125,Установили в тот же день,1456,1456,0.1696771938002564
2020-01-30,Остальные,6919,6919,Установили в тот же день,2301,2301,0.24956616052060737
2020-01-31,Остальные,6776,6776,Установили в тот же день,1965,1965,0.2248026541585631
2020-02-01,Остальные,6684,6684,Установили в тот же день,1584,1584,0.19158200290275762
2020-02-02,Остальные,6765,6765,Установили в тот же день,1493,1493,0.18079438120610317
2020-02-03,Остальные,6347,6347,Установили в тот же день,1483,1483,0.18939974457215836
2020-02-04,Остальные,6306,6306,Установили в тот же день,1377,1377,0.17922686450605232
2020-02-05,Остальные,6179,6179,Установили в тот же день,1323,1323,0.17635297254065582
2020-02-06,Остальные,6710,6710,Установили в тот же день,1172,1172,0.14869322506977925
2020-02-07,Остальные,6307,6307,Установили в тот же день,1086,1086,0.1468957121601515
2020-02-08,Остальные,6423,6423,Установили в тот же день,1176,1176,0.15475720489538097
2020-02-09,Остальные,6666,6666,Установили в тот же день,1191,1191,0.15158457426498664
2020-02-10,Остальные,6334,6334,Установили в тот же день,1083,1083,0.14601590939733045
2020-02-11,Остальные,5845,5845,Установили в тот же день,1076,1076,0.15546886288108655
2020-02-12,Остальные,6364,6364,Установили в тот же день,1199,1199,0.1585349728943541
2020-02-13,Остальные,7515,7515,Установили в тот же день,1844,1844,0.1970295971791858
2020-02-14,Остальные,10282,10282,Установили в тот же день,4188,4188,0.289426399447132
2020-02-15,Остальные,8067,8067,Установили в тот же день,2223,2223,0.21603498542274052
2020-02-16,Остальные,7943,7943,Установили в тот же день,1340,1340,0.14434988689001402
2020-02-17,Остальные,7687,7687,Установили в тот же день,1098,1098,0.12498577120091064
2020-02-18,Остальные,7594,7594,Установили в тот же день,1018,1018,0.11820715281003251
2020-02-19,Остальные,7380,7380,Установили в тот же день,1243,1243,0.1441493679693842
2020-02-20,Остальные,6667,6667,Установили в тот же день,839,839,0.11177724487077005
2020-02-21,Остальные,10084,10084,Установили в тот же день,2576,2576,0.20347551342812006
2020-02-22,Остальные,8933,8933,Установили в тот же день,1901,1901,0.1754661251615285
2020-02-23,Остальные,7640,7640,Установили в тот же день,1016,1016,0.11737523105360444
2020-02-24,Остальные,7092,7092,Установили в тот же день,727,727,0.09297864177004732
2020-02-25,Остальные,6594,6594,Установили в тот же день,593,593,0.08251008765827188
2020-02-26,Остальные,6270,6270,Установили в тот же день,571,571,0.08346732933781612
2020-02-27,Остальные,6220,6220,Установили в тот же день,532,532,0.07879146919431279
2020-02-28,Остальные,6254,6254,Установили в тот же день,508,508,0.075125702454895
2020-02-29,Остальные,6464,6464,Установили в тот же день,618,618,0.08726348489127365
2020-03-01,Остальные,6458,6458,Установили в тот же день,651,651,0.09157406104937403
2020-03-02,Остальные,6015,6015,Установили в тот же день,453,453,0.07003710575139147
2020-03-03,Остальные,5845,5845,Установили в тот же день,466,466,0.07383932815718587
2020-03-04,Остальные,5681,5681,Установили в тот же день,452,452,0.07369965759008641
2020-03-05,Остальные,5759,5759,Установили в тот же день,411,411,0.066612641815235
2020-03-06,Остальные,10616,10616,Установили в тот же день,6358,6358,0.37457287616354423
2020-03-07,Остальные,10606,10606,Установили в тот же день,2934,2934,0.21669128508124078
2020-03-08,Остальные,6937,6937,Установили в тот же день,1098,1098,0.13665214685749844
2020-03-09,Остальные,6754,6754,Установили в тот же день,703,703,0.09427383666353761
2020-03-10,Остальные,6780,6780,Установили в тот же день,616,616,0.08328826392644673
2020-03-11,Остальные,6457,6457,Установили в тот же день,549,549,0.07836140451041965
2020-03-12,Остальные,6616,6616,Установили в тот же день,709,709,0.09679180887372013
2020-03-13,Остальные,6025,6025,Установили в тот же день,499,499,0.07648681790312692
2020-03-14,Остальные,6166,6166,Установили в тот же день,443,443,0.06702980783779694
2020-03-15,Остальные,6120,6120,Установили в тот же день,478,478,0.07244619581691422
2020-03-16,Остальные,5786,5786,Установили в тот же день,360,360,0.0585746827204686
2020-03-17,Остальные,6111,6111,Установили в тот же день,431,431,0.06588199327422807
2020-03-18,Остальные,6148,6148,Установили в тот же день,1171,1171,0.1599945347725099
2020-03-19,Остальные,6037,6037,Установили в тот же день,1406,1406,0.1889023243315867
2020-03-20,Остальные,5743,5743,Установили в тот же день,1408,1408,0.1968955390854426
2020-03-21,Остальные,5608,5608,Установили в тот же день,1235,1235,0.18047639924009937
2020-03-22,Остальные,5440,5440,Установили в тот же день,1261,1261,0.18818086852708552
2020-03-23,Остальные,7112,7112,Установили в тот же день,1692,1692,0.19218537028623353
2020-03-24,Остальные,7813,7813,Установили в тот же день,1850,1850,0.19145193004242989
2020-03-25,Остальные,7990,7990,Установили в тот же день,1824,1824,0.1858569390666395
2020-03-26,Остальные,7861,7861,Установили в тот же день,1395,1395,0.15071305099394988
2020-03-27,Остальные,6610,6610,Установили в тот же день,1199,1199,0.15354078627224996
2020-03-28,Остальные,5374,5374,Установили в тот же день,1091,1091,0.16875483372003094
2020-03-29,Остальные,4818,4818,Установили в тот же день,1117,1117,0.1882055602358888
2020-03-30,Остальные,4710,4710,Установили в тот же день,994,994,0.17426367461430575
2020-03-31,Остальные,4322,4322,Установили в тот же день,968,968,0.1829867674858223
